BeSS #,Be star,Type,Simbad classification,Literature classification,Classification source,Vmag,vsini,RA,Dec,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,rpgeo,b_rpgeo,B_rpgeo,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,N_H,Gamma,HR1,HR2,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),X-ray source
1379,HD 305560,Oe,*,Star,https://ui.adsabs.harvard.edu/abs/2014GCN.16874....1D/abstract,9.82,,161.61854,-60.5641,0.1706,-5.353,1.164,0.088,8.11,9.602126,9.825287,9.184463,,3.61210664559665e-13,,,,8.298,0.011,8.253,0.008,8.134,0.026,9.317,,8.667,0.024,8.513,0.033,8.42,0.023,,,0.906,0.771,2.657111e-12,5.387716e-11,4.166657e-10,XRT
1389,HD 93843,O6IIIe,V*,Star,https://ui.adsabs.harvard.edu/abs/1998MNRAS.301..926P/abstract,7.33,,162.15742,-60.22374,0.4157,-5.956,1.8,0.265,54.4,7.274279,7.249497,7.243824,,3.082473588685393e-12,,,,7.28,0.014,7.252,0.008,6.994,0.026,5.717,0.218,7.226,0.029,7.267,0.047,7.234,0.029,64.2457,7.1349,-0.4285,0.3003,1.191315e-13,4.765648e-14,8.855461e-14,CXO
1411,HD 305891,B3Ve,Em*,?,,10.37,,165.62496,-60.81552,0.4127,-6.089,1.784,0.144,20.2,10.208307,10.121664,10.015839,,2.066751036733153e-13,,,,9.7441,0.0005,9.7416,0.0011,9.432,0.286,6.773,0.187,9.915,0.033,9.87,0.035,9.859,0.027,,,0.3868,-0.0773,5.516723e-15,1.24774e-14,1.068775e-14,XMM
1448,2E 1118.7-6138,O9.5IVe,HMXB,?,,12.12,,170.23842,-61.91675,0.3293,-5.421,1.37,0.07,6.38,11.589363,12.270934,10.759902,,5.792496287987764e-14,,,,7.747,0.008,7.599,0.007,6.804,0.019,6.025,0.052,9.563,0.024,9.071,0.023,8.587,0.019,105.5,1.5022,-0.7675,-0.7211,3.036318e-12,3.994976e-13,6.474865e-14,CXO
1451,HD 99146,B3Ve,Em*,?,,8.18,,170.97071,-59.30481,-1.6586,-5.833,1.538,7.294,30000.0,8.042924,8.150716,7.71876,,1.5185928968462317e-12,,,,6.897,0.015,6.553,0.009,5.854,0.009,5.386,0.032,7.398,0.023,7.314,0.046,7.034,0.027,,,,1.0,0.0,0.0,4.55945e-15,CXO
1456,HD 100199,B0.5IIIne,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2007A%26A...461..631N/abstract,8.17,,172.77879,-62.94693,0.5732,-6.098,1.373,0.468,136.0,8.126811,8.113963,8.075031,,1.4056803185334725e-12,1536.59802,1457.02856,1756.77222,7.89,0.009,7.87,0.008,7.625,0.044,7.041,0.121,8.048,0.023,8.067,0.031,8.009,0.029,48.8438,0.0656,-0.8488,-0.7156,1.992759e-12,1.629514e-13,2.700994e-14,CXO
1492,V801 Cen,B1Vne,Em*,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AAS...20915107I/abstract,8.94,,177.00008,-62.20691,0.4754,-6.226,1.598,0.114,10.1,8.652682,8.823288,8.294997,,8.660404243656121e-13,2049.01001,1985.73267,2111.28247,inf,,7.0676,0.0012,7.784,0.024,6.98,0.091,8.677,0.026,8.577,0.057,8.403,0.029,16.5067,0.8322,-0.7367,-0.2111,6.978008e-12,1.057912e-12,6.890641e-13,CXO
1509,V863 Cen,B6IIIe,Em*,Star,https://ui.adsabs.harvard.edu/abs/2001A%26A...366..121B/abstract,4.448,,182.02175,-50.66127,,,,,,,,,,,,,,5.0869,0.0003,4.6333,0.0006,4.995,0.014,4.961,0.028,5.125,0.262,4.949,0.076,4.871,0.026,,,-0.4283,-0.5115,5.277838e-14,2.11273e-14,6.828434e-15,XMM
1510,del Cen,B2Vne,Em*,?,https://ui.adsabs.harvard.edu/abs/2008A%26A...488L..67M/abstract,2.561,260.0,182.08958,-50.72243,5.7179,-42.613,-11.135,2.75,10100.0,2.508257,2.883904,2.631458,,2.4848956977138655e-10,182.851196,162.146988,202.104065,2.3727,0.0005,1.4822,0.0006,1.023,0.006,0.334,0.015,2.788,0.298,2.809,0.244,2.668,0.244,,,-0.6363,-0.3451,5.718901e-14,1.27123e-14,6.189425e-15,XMM
1537,BZ Cru,B0.5IVpe,Em*,gamma Cas type variable,https://ui.adsabs.harvard.edu/abs/2007A%26A...474..983L/abstract,5.316,400.0,190.70946,-63.05862,2.2826,-12.857,-3.677,0.663,549.0,5.13685,5.317963,4.793645,,2.2073487968930694e-11,443.522156,427.214355,460.941559,3.6955,0.0002,2.8133,0.0004,2.27,0.01,1.537,0.013,4.655,0.22,4.339,0.208,4.038,0.31,,,0.5884,0.6909,6.781609e-13,2.61717e-12,1.431922e-11,XMM
1560,V850 Cen,B2Vne,HMXB,?,,13.4,,195.32171,-61.6019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.919,0.566,1.06556e-12,2.524457e-11,9.108987e-11,XRT
1563,CPD-63 2495,B2e,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2010atnf.prop.3502M/abstract,10.08,,195.69858,-63.83574,0.4434,-7.093,-0.342,0.067,4.9,9.632835,10.15393,8.913,,3.511372989981725e-13,,,,6.783,0.016,6.439,0.008,5.637,0.015,4.741,0.03,8.026,0.027,7.699,0.055,7.248,0.02,33.9577,1.7948,-0.5741,-0.2952,9.082319e-13,2.457621e-13,1.337239e-13,CXO
1591,HD 117357,O9.5Ve,V*,Star,https://ui.adsabs.harvard.edu/abs/2007AN....328.1133H/abstract,9.14,,202.81454,-61.73262,0.4427,-5.426,-2.771,0.11,15.0,9.029179,9.121632,8.802739,,6.12264901822223e-13,,,,8.159,0.009,8.411,0.007,7.785,0.03,6.802,0.12,8.601,0.026,8.577,0.044,8.537,0.023,,,-1.0,1.0,2.983421e-15,0.0,5.438116e-15,XMM
1601,HD 119682,B0Ve,Em*,gamma Cas type variable,https://ui.adsabs.harvard.edu/abs/2013ApJ...765...13T/abstract,7.908,200.0,206.63571,-62.92337,0.6055,-4.749,-2.261,0.255,69.6,8.518085,8.513863,8.429379,,9.803405440034686e-13,,,,inf,,7.0393,0.0021,5.69,0.022,5.241,0.089,7.35,0.027,7.184,0.033,6.95,0.023,21.7407,1.5496,-0.6438,-0.1402,8.155949e-13,1.767608e-13,1.332786e-13,CXO
1611,V767 Cen,B2Ve,Em*,Star,http://articles.adsabs.harvard.edu/pdf/2004IAUS..215..224F,5.83,130.0,208.4885,-47.12816,1.4567,-7.699,-4.225,0.585,437.0,6.110023,6.029997,6.160856,,9.007448011054396e-12,,,,6.754,0.024,6.25,0.012,5.69,0.016,5.053,0.027,5.876,0.02,5.811,0.021,5.617,0.021,,,0.2122,0.5673,4.122444e-13,6.34313e-13,2.297323e-12,XMM
1631,4U 1416-62,Be,HMXB,?,,17.2,,215.30329,-62.6983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.883,0.779,8.3602e-13,1.345492e-11,1.083091e-10,XRT
1658,CQ Cir,B1Ve,Be*,?,,9.98,335.0,222.70938,-60.2862,0.6079,-3.779,-2.642,0.092,15.3,9.555422,10.043425,8.866023,,3.770875241828074e-13,,,,6.747,0.053,6.434,0.024,5.653,0.015,4.395,0.025,7.943,0.027,7.62,0.046,7.276,0.033,,1.393,0.742,0.229,3.208252e-13,2.166192e-12,3.452983e-12,XRT
1709,48 Lib,B8IIe,Em*,Star,https://ui.adsabs.harvard.edu/abs/1943ApJ....98...98S/abstract,4.943,390.0,239.54738,-14.27936,7.154,-13.843,-16.271,0.702,760.0,4.74231,4.725637,4.740682,,3.174585031324363e-11,,,,,,3.776,0.163,3.292,0.013,2.464,0.022,5.098,0.216,4.829,0.08,4.591,0.02,,,-0.6447,0.9436,7.779887e-16,1.68074e-16,5.7953e-15,XMM
1790,HD 153295,B2e,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2020A%26A...640A..86P/abstract,9.05,,255.10521,-42.31675,0.6405,1.181,-1.47,0.109,12.9,8.707157,9.097729,8.094566,,8.236603577189369e-13,,,,6.879,0.029,5.956,0.012,5.077,0.026,3.521,0.025,7.445,0.027,7.093,0.036,6.729,0.016,,1.424,,,0.0,0.0,0.0,CXO
1812,V1075 Sco,O8Ve,Em*,Star,https://ui.adsabs.harvard.edu/abs/2010A%26A...510A..59N/abstract,5.612,211.0,258.83021,-33.54842,0.9543,1.67,-3.415,0.462,226.0,5.6681,5.634211,5.673813,,1.3532279652302336e-11,,,,5.541,0.046,5.347,0.018,5.174,0.015,4.693,0.032,5.655,0.021,5.683,0.027,5.591,0.018,,,-0.7046,-0.8693,3.957202e-13,6.85774e-14,4.794679e-15,XMM
1827,gam Ara,B1IIe,Em*,Star,https://ui.adsabs.harvard.edu/abs/1997A%26A...318..157P/abstract,3.312,302.0,261.34858,-56.37772,3.9387,-3.583,-12.641,2.013,6390.0,3.304689,3.302995,3.372585,,1.1932607735443251e-10,267.377106,242.611328,297.767426,3.8685,0.0002,3.3098,0.0004,3.782,0.015,3.663,0.026,,,,,,,,,-0.3855,-0.5761,3.446929e-13,1.52862e-13,4.111271e-14,XMM
1829,V750 Ara,B2Vne,Em*,Star,https://ui.adsabs.harvard.edu/abs/2011ApJ...731L...6L/abstract,6.652,310.0,261.97838,-47.02622,0.9867,-0.938,-1.625,0.283,68.1,6.563528,6.588638,6.436725,,5.931981175235607e-12,,,,5.706,0.034,5.63,0.026,4.639,0.015,3.889,0.024,6.311,0.02,6.233,0.034,5.965,0.021,,,0.5328,0.7331,1.416894e-13,4.64879e-13,3.018919e-12,XMM
1838,Cl* NGC 6383 FJL 24,B9Ve,*,?,https://ui.adsabs.harvard.edu/abs/2018A%26A...610A..30A/abstract,11.38,,263.69975,-32.58897,0.7069,2.402,-1.923,0.253,72.5,11.266541,11.398829,11.014829,,7.798203498399385e-14,,,,10.2606,0.0009,10.2889,0.002,8.78,0.392,6.366,,10.655,0.023,10.474,0.029,10.402,0.035,,,0.1345,-0.2632,5.054991e-15,6.62671e-15,3.865316e-15,XMM
1851,V3892 Sgr,Oe,Em*,gamma Cas type variable,https://ui.adsabs.harvard.edu/abs/2006A%26A...454..265L/abstract,8.69,,266.19075,-27.22903,0.7873,-0.857,-2.296,0.087,4.67,8.234564,8.511403,7.735419,,1.272873849260636e-12,,,,5.809,0.077,5.633,0.053,4.965,0.016,3.975,0.026,7.054,0.018,6.843,0.038,6.507,0.023,34.7215,1.688,-0.582,-0.4087,8.62207e-13,2.278099e-13,9.562229e-14,CXO
1858,HD 316341,B0Ve,Em*,?,,9.06,120.0,267.14804,-29.958,0.6098,1.236,-0.986,0.066,3.59,9.640618,9.841462,9.266438,,3.4862920387057286e-13,,,,8.561,0.017,8.474,0.013,,,,,7.596,0.021,7.342,0.046,6.957,0.023,,,0.478,0.535,1.340857e-14,3.796526e-14,1.253262e-13,XRT
1868,HD 316520,B5IVnne,Em*,?,,10.79,,268.01421,-28.75867,0.5076,-0.275,-0.478,0.0,0.0,10.620366,10.810089,10.265756,,1.4140493423447598e-13,,,,9.14,0.014,8.978,0.009,8.234,0.057,7.461,,9.821,,9.65,,9.415,0.03,,,-0.8122,-0.5971,4.313211e-13,4.46872e-14,1.127266e-14,CXO
1873,V771 Sgr,Oe,Be*,?,,8.76,,268.3685,-24.77436,0.5548,-0.267,-2.637,0.699,338.0,8.396587,8.82653,7.738921,,1.0964180186120648e-12,1728.05603,1504.49939,2104.94165,5.497,0.156,5.176,0.082,4.463,0.016,3.464,0.023,6.905,0.023,6.584,0.036,6.178,0.018,,2.056,0.768,0.037,2.017593e-13,1.537545e-12,1.655695e-12,XRT
1875,HD 316568,B2IVpe,Em*,?,,9.57,,268.67796,-29.72989,0.5676,0.722,0.091,0.0,0.0588,9.652394,9.778092,9.367512,,3.448683698234587e-13,,,,,,,,,,,,8.903,0.026,8.781,0.027,8.498,0.044,,,-0.5481,-0.377,8.699608e-15,2.539783e-15,1.148989e-15,CXO
1887,HD 164492D,Be,Em*,Star,https://ui.adsabs.harvard.edu/abs/2014A%26A...564L..10H/abstract,8.76,,270.59637,-23.03332,-0.5197,-0.198,-3.112,1.341,1360.0,8.825583,8.859301,8.657754,,7.385463636301768e-13,,,,,,,,,,,,8.066,0.023,7.795,0.027,7.31,,30.668000000000003,2.5367,-0.446,-0.1168,2.39811e-13,9.188444e-14,7.266363e-14,CXO
1891,Cl* NGC 6530 ZCW 175,B3Ve,YSO,?,https://ui.adsabs.harvard.edu/abs/2019A%26A...623A..25D/abstract,10.37,,271.04654,-24.36253,0.7615,1.243,-2.154,0.111,9.45,10.350207,10.417,10.185541,,1.813544281053387e-13,,,,9.8237,0.0007,inf,,,,,,10.026,0.026,9.948,0.022,9.899,0.019,37.2713,3.7648,-0.4646,0.0293,1.392058e-14,5.088477e-15,5.395486e-15,CXO
1893,HD 164906,B0Ve,Em*,Star,https://ui.adsabs.harvard.edu/abs/1983MNRAS.204.1203W/abstract,7.45,255.0,271.10767,-24.38565,0.7443,2.084,-0.829,0.197,17.3,7.339391,7.463867,7.03901,,2.9030503227790096e-12,,,,5.596,0.155,5.319,0.058,3.505,0.019,-0.88,0.02,6.648,0.023,6.482,0.046,6.168,0.027,,,1.0,0.495,0.0,1.389938e-15,4.115239e-15,CXO
1895,Cl* NGC 6530 ZCW 221,B2.5Ve,YSO,?,https://ui.adsabs.harvard.edu/abs/2019A%26A...623A..25D/abstract,10.66,,271.12083,-24.42395,0.8157,1.385,-2.254,0.039,1.27,10.621711,10.683019,10.462211,,1.4122987156109604e-13,,,,9.9892,0.0007,9.6773,0.0018,11.533,,2.298,0.026,10.256,0.029,10.158,0.037,10.126,0.033,,,1.0,0.1718,0.0,1.75228e-15,2.479251e-15,CXO
1896,Cl* NGC 6530 ZCW 228,B2.5Vne,YSO,?,https://ui.adsabs.harvard.edu/abs/2019A%26A...623A..25D/abstract,10.49,,271.13721,-24.31238,0.8168,1.162,-1.795,0.121,9.36,10.415965,10.476924,10.260976,,1.7069663670827632e-13,,,,9.6446,0.0006,9.6493,0.0014,,,,,10.045,,9.834,,9.871,0.039,44.8805,4.2506,1.0,-0.0576,0.0,1.278858e-14,1.139664e-14,CXO
1900,HD 164947,B2Vne,Be*,?,,8.87,120.0,271.17371,-24.3483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0197,0.3558,2.356559e-15,2.26537e-15,4.767765e-15,XMM
1903,Cl* NGC 6530 ZCW 254,B4Ve,Em*,?,https://ui.adsabs.harvard.edu/abs/2019A%26A...623A..25D/abstract,11.97,,271.21088,-24.42836,0.7632,1.806,-2.158,0.044,1.48,11.721603,11.994288,11.22236,,5.128256795111637e-14,,,,8.782,0.01,8.231,0.007,4.683,0.017,1.16,0.023,10.453,,10.162,0.044,9.728,,,,0.594,0.5201,3.669911e-15,1.44079e-14,4.564106e-14,XMM
1908,HD 165783,B4IIe,Em*,?,https://ui.adsabs.harvard.edu/abs/2013arXiv1303.2018M/abstract,8.33,,272.11288,-19.86888,0.7041,-0.412,-1.549,0.123,9.2,8.261578,8.427951,7.926585,,1.241594454448431e-12,,,,6.366,0.056,6.508,0.022,5.783,0.019,3.919,0.033,7.454,0.018,7.28,0.038,7.09,0.021,,,-0.7893,0.9225,1.067796e-15,1.25728e-16,3.120901e-15,XMM
1911,V3903 Sgr,B6IIIe,V*,Orion type variable,https://ui.adsabs.harvard.edu/abs/1997A%26A...327.1094V/abstract,7.36,,272.32375,-23.9884,0.8368,2.766,-1.214,0.14,9.79,7.212316,7.279822,7.012226,,3.2635071171331384e-12,1139.76147,1104.32373,1176.48059,7.096,0.022,6.86,0.009,7.263,0.036,8.262,,6.819,0.02,6.79,0.018,6.779,0.024,72.3692,7.5981,1.0,0.3185,0.0,6.426441e-14,1.243391e-13,CXO
1913,HD 166188,B3IIe,Be*,Star,https://ui.adsabs.harvard.edu/abs/1988mcts.book.....H/abstract,8.97,,272.57633,-18.19481,0.5892,1.903,-1.785,0.114,12.1,8.726829,8.973854,8.282721,,8.088711843397519e-13,,,,6.9,0.013,6.829,0.009,5.934,0.031,4.92,0.049,7.682,0.024,7.519,0.046,7.275,0.027,,3.889,0.853,-0.317,1.889025e-14,2.3812e-13,1.234897e-13,XRT
1929,Cl* NGC 6611 PPM 38,B8Ve,Em*,?,,13.705,,274.66567,-13.78214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0912,-0.3346,2.386733e-15,1.987672e-15,9.909821e-16,CXO
1930,BD-13 4928,O9.5Vne,Em*,?,,10.044,,274.67829,-13.78067,,,,,,,,,,,,,,8.611,0.011,8.804,0.011,,,,,,,,,,,,,0.0854,0.3541,1.588327e-15,1.884897e-15,3.951601e-15,CXO
2033,HD 344783,B0IVe,Em*,?,,9.8,,295.77829,23.27011,-0.0906,-1.21,-5.981,1.26,2520.0,9.719704,9.905604,9.274323,,3.2413756416523653e-13,5738.9668,4326.99658,7454.25146,8.627,0.018,8.693,0.012,9.119,0.088,8.503,,8.785,0.019,8.712,0.029,8.652,0.024,,,1.0,0.2292,0.0,8.060621e-15,1.285342e-14,CXO
2059,HD 190864,O7IIIe,Em*,Star,https://ui.adsabs.harvard.edu/abs/1995ApJS..100..433U/abstract,7.79,100.0,301.41583,35.60777,0.5264,-3.062,-6.638,0.155,19.0,7.688452,7.776162,7.470989,,2.1048936800814788e-12,1816.71277,1759.8241,1853.72522,7.184,0.01,7.267,0.007,7.169,0.02,6.667,0.076,7.258,0.019,7.28,0.021,7.265,0.021,,,-0.4175,-0.8678,5.562479e-14,2.28604e-14,1.617606e-15,XMM
2069,HD 228256,Bpe,Em*,?,,10.02,,302.97654,40.00823,0.4373,-2.26,-5.247,0.09,11.2,9.951344,10.317178,9.389476,,2.618625327913689e-13,2184.26904,2133.18237,2243.86475,7.523,0.014,7.082,0.008,6.379,0.016,5.611,0.049,8.404,0.029,8.11,0.018,7.757,0.016,,2.316,0.68,-0.126,2.657616e-14,1.395248e-13,1.08299e-13,XRT
2073,HD 228438,B0.5IIIe,Em*,?,,8.37,,303.4595,36.62292,0.4262,-2.58,-6.408,0.243,51.0,8.116377,8.364006,7.674968,,1.4192541217172356e-12,2286.96265,2167.15674,2403.03174,6.659,0.022,6.13,0.01,5.255,0.015,4.446,0.028,7.177,0.026,7.05,0.023,6.755,0.017,,,-0.17,-0.1219,2.013997e-15,1.42881e-15,1.118305e-15,XMM
2075,HD 228535,B2IVe,Em*,?,,10.43,,303.73058,36.85356,0.4296,-3.65,-5.417,0.128,23.8,10.045268,10.420864,9.491667,,2.401617083287517e-13,2219.12988,2148.74023,2296.70947,7.83,0.01,7.7,0.008,7.522,0.023,7.051,0.083,9.338,0.021,9.245,0.018,9.2,0.015,,,0.6298,0.4624,6.362795e-16,2.80152e-15,7.621568e-15,XMM
2101,V2246 Cyg,B0Ve,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2008A%26A...479..301B/abstract,19.7,,308.06329,37.6375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8954,0.967,2.144067e-13,3.88393e-12,2.312472e-10,XMM
2106,W Del,A0Ve,**,Algol type variable,https://ui.adsabs.harvard.edu/abs/1896ApJ.....3..200P/abstract,9.81,30.0,309.41704,18.28438,1.2538,-3.618,4.204,0.227,72.4,9.732103,9.778762,9.601971,,3.204570010959569e-13,,,,8.975,0.014,9.032,0.009,9.001,0.042,9.081,,9.365,0.021,9.135,0.036,9.1,0.02,,,-0.2147,-0.4139,5.795463e-15,3.74652e-15,1.552926e-15,XMM
2123,HD 198931,B1Vnne,Em*,?,,8.81,,313.0405,44.43461,0.5433,-1.166,-2.968,2.059,3400.0,8.488976,8.858294,7.87987,,1.006979348911448e-12,2142.65967,1487.82837,2753.59912,6.741,0.022,5.908,0.011,5.081,0.017,4.221,0.031,7.129,0.024,6.863,0.031,6.535,0.018,,3.984,1.0,-0.2358,0.0,1.969594e-14,1.217878e-14,CXO
2134,GSC 03588-00834,B0Ve,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2014A%26A...568A.115C/abstract,14.25,,315.89879,45.75153,0.1309,-3.505,-3.16,0.0,0.0,13.774436,14.475037,12.951386,,7.741704033414156e-15,,,,10.716,0.013,10.653,0.01,10.323,0.127,8.728,,11.842,0.021,11.535,0.021,11.362,0.023,114.49799999999999,1.8276,-0.739,-0.6262,2.500065e-13,3.751596e-14,8.624874e-15,CXO
2151,V2156 Cyg,B1.5Vnnpe,Be*,gamma Cas type variable,https://ui.adsabs.harvard.edu/abs/2020MNRAS.493.2511N/abstract,8.91,,321.26017,44.45177,1.0899,-0.406,-2.664,0.12,16.4,8.658449,8.986755,8.124928,,8.614525564497664e-13,896.514343,879.13092,915.7547,6.657,0.017,6.205,0.009,5.424,0.014,4.597,0.027,7.432,0.018,7.206,0.017,6.943,0.017,,0.8678,0.6667,0.352,5.265304e-14,2.632652e-13,5.492817e-13,XRT
2152,ALFIRK,B2IIIev,V*,beta Cep type variable,https://en.wikipedia.org/wiki/Beta_Cephei,3.216,20.0,322.165,70.56071,,,,7.374,75000.0,3.19459,3.158124,3.378576,,1.320611163457289e-10,,,,3.9699,0.0002,3.4883,0.0004,,,,,3.638,0.218,3.749,0.216,3.902,0.033,,,-0.7077,-0.8032,7.694779e-13,1.31721e-13,1.437389e-14,XMM
2162,V490 Cep,B1.5Ve,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2018ATel11791....1N/abstract,14.29,,324.878,56.98611,0.1048,-2.964,-2.204,0.0,0.0,13.816205,14.523019,12.969804,,7.449531556007228e-15,,,,10.29,0.01,10.002,0.007,9.155,0.033,7.896,0.147,,,,,,,85.4343,1.3946,-0.7602,-0.5421,6.537486e-13,8.906233e-14,2.644776e-14,CXO
2171,EM Cep,B0.5Ve,Em*,Star,https://ui.adsabs.harvard.edu/abs/2016AJ....152...56K/abstract,7.03,304.0,328.45042,62.61443,1.5214,-2.929,-0.313,2.102,4730.0,6.959275,7.06385,6.704503,,4.12003555725369e-12,,,,6.621,0.015,6.513,0.009,6.285,0.015,5.663,0.035,6.487,0.026,6.501,0.033,6.524,0.018,,,0.1572,0.4613,1.038424e-15,1.425876e-15,3.867947e-15,CXO
2185,BD+53 2790,O9.5IIIe,HMXB,Accreting magnetar,https://ui.adsabs.harvard.edu/abs/2011BSRSL..80..634B/abstract,9.93,,331.98433,54.51844,0.3051,-4.173,-3.317,0.107,14.0,9.743357,9.880591,9.464358,,3.171525182693517e-13,,,,8.818,0.011,8.7,0.008,8.191,0.019,7.9,0.162,9.218,0.025,9.116,0.027,9.038,0.022,,0.0419,0.6831,0.8533,2.613188e-12,1.38765e-11,1.752831e-10,XMM
2198,pi Aqr,B1Ve,Em*,gamma Cas type variable,https://ui.adsabs.harvard.edu/abs/2002ApJ...573..812B/abstract,4.794,230.0,336.31925,1.3774,2.9761,17.518,2.563,0.759,746.0,4.525096,4.519456,4.457915,,3.87768533456156e-11,,,,4.1085,0.0002,3.5326,0.0004,4.074,0.016,3.605,0.027,5.305,0.037,5.365,0.049,5.351,0.02,,,0.5092,0.6689,5.524283e-13,1.69873e-12,8.561536e-12,XMM
2213,4U 2238+60,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2000A%26A...361...85I/abstract,,,339.83708,61.27411,0.104,-2.344,-1.015,0.044,1.04,14.104571,15.060287,13.122439,,5.711925891955655e-15,7315.11621,6784.97314,7996.52441,10.183,0.023,9.947,0.021,9.477,0.051,8.328,0.234,11.45,0.026,10.955,0.031,10.557,0.021,,,-0.9009,-0.6382,4.97954e-13,2.596061e-14,5.733738e-15,CXO
2218,EM* MWC 659,B0IIIpe,Em*,?,,10.15,,341.93904,57.28077,0.2773,-3.355,-2.986,0.086,10.9,9.916761,10.209489,9.415123,,2.703376686294131e-13,3401.40186,3273.69043,3620.22119,7.827,0.013,7.451,0.008,6.493,0.015,5.518,0.035,8.841,0.021,8.556,0.028,8.221,0.021,,1.791,0.832,0.213,3.090669e-14,3.370301e-13,5.194632e-13,XRT
2225,BD+61 2355,B7IVe,Em*,?,,9.63,,343.12162,62.68606,1.6821,2.835,-3.814,0.769,747.0,9.562364,9.714089,9.158236,,3.7468418651489137e-13,583.429138,558.467041,604.343018,8.275,0.007,8.398,0.007,7.93,0.016,5.573,0.028,8.751,0.021,8.659,0.029,8.602,0.017,,,0.4696,0.0863,4.831701e-15,1.3387e-14,1.591467e-14,XMM